gmail.com 1 19875
slackbuilds.org 2 16349
? 3 2092
googlemail.com 4 1471
linux.com 5 917
alumni.sfu.ca 6 836
linuxbox.fi 7 777
yahoo.com 8 703
liwjatan.at 9 552
mnspace.net 10 525
